year,jday,tree.type,site,plot,nindivs,tag,spp,dbh,,ba [m^2]
2009,120,live,ems,B1,NA,154,rm,27.17,,0.018455223
2009,152,live,ems,B1,NA,154,rm,27.21,,0.018509603
2009,225,live,ems,B1,NA,154,rm,27.47,,0.018865023
2009,335,live,ems,B1,NA,154,rm,27.54,,0.01896129
2009,120,live,ems,B1,NA,155,ro,50.96,,0.06492304
2009,152,live,ems,B1,NA,155,ro,51.1,,0.06528025
2009,225,live,ems,B1,NA,155,ro,51.28,,0.06574096
2009,335,live,ems,B1,NA,155,ro,51.36,,0.06594624
2009,120,live,ems,B1,NA,156,rm,39.78,,0.03956121
2009,152,live,ems,B1,NA,156,rm,39.85,,0.039700563
2009,225,live,ems,B1,NA,156,rm,39.94,,0.03988009
2009,335,live,ems,B1,NA,156,rm,39.7,,0.03940225
2009,120,live,ems,B1,NA,157,rm,19.8,,0.009801
2009,152,live,ems,B1,NA,157,rm,19.8,,0.009801
2009,225,live,ems,B1,NA,157,rm,19.8,,0.009801
2009,335,live,ems,B1,NA,157,rm,19.8,,0.009801
2009,120,live,ems,B1,NA,159,rm,29.6,,0.021904
2009,152,live,ems,B1,NA,159,rm,29.67,,0.022007723
2009,225,live,ems,B1,NA,159,rm,29.8,,0.022201
2009,335,live,ems,B1,NA,159,rm,29.82,,0.02223081
2009,120,live,ems,B1,NA,160,rm,35.81,,0.032058903
2009,152,live,ems,B1,NA,160,rm,35.83,,0.032094723
2009,225,live,ems,B1,NA,160,rm,35.87,,0.032166423
2009,335,live,ems,B1,NA,160,rm,35.88,,0.03218436
2009,120,live,ems,B1,NA,161,rm,19.32,,0.00933156
2009,152,live,ems,B1,NA,161,rm,19.33,,0.009341223
2009,225,live,ems,B1,NA,161,rm,19.44,,0.00944784
2009,335,live,ems,B1,NA,161,rm,19.48,,0.00948676
2009,120,live,ems,B1,NA,162,rm,33.14,,0.02745649
2009,152,live,ems,B1,NA,162,rm,33.17,,0.027506223
2009,225,live,ems,B1,NA,162,rm,33.26,,0.02765569
2009,335,live,ems,B1,NA,162,rm,33.3,,0.02772225
2009,120,live,ems,B1,NA,163,rm,12.98,,0.00421201
2009,152,live,ems,B1,NA,163,rm,12.98,,0.00421201
2009,225,live,ems,B1,NA,163,rm,12.99,,0.004218503
2009,335,live,ems,B1,NA,163,rm,13,,0.004225
2009,120,live,ems,B1,NA,164,wp,20.04,,0.01004004
2009,152,live,ems,B1,NA,164,wp,20.18,,0.01018081
2009,225,live,ems,B1,NA,164,wp,20.3,,0.01030225
2009,335,live,ems,B1,NA,164,wp,20.37,,0.010373423
2009,120,live,ems,B1,NA,165,ro,44.38,,0.04923961
2009,152,live,ems,B1,NA,165,ro,44.49,,0.049484003
2009,225,live,ems,B1,NA,165,ro,44.57,,0.049662123
2009,335,live,ems,B1,NA,165,ro,44.61,,0.049751303
2009,120,live,ems,B2,NA,179,ro,66.26,,0.10975969
2009,152,live,ems,B2,NA,179,ro,66.44,,0.11035684
2009,225,live,ems,B2,NA,179,ro,66.59,,0.110855703
2009,335,live,ems,B2,NA,179,ro,66.63,,0.110988923
2009,120,live,ems,B2,NA,182,yb,31.7,,0.02512225
2009,152,live,ems,B2,NA,182,yb,31.76,,0.02521744
2009,225,live,ems,B2,NA,182,yb,31.95,,0.025520063
2009,335,live,ems,B2,NA,182,yb,32,,0.0256
2009,120,live,ems,B2,NA,185,rm,13.92,,0.00484416
2009,152,live,ems,B2,NA,185,rm,13.93,,0.004851123
2009,225,live,ems,B2,NA,185,rm,13.94,,0.00485809
2009,335,live,ems,B2,NA,185,rm,13.95,,0.004865063
2009,120,live,ems,B2,NA,187,rm,31.57,,0.024916623
2009,152,live,ems,B2,NA,187,rm,31.62,,0.02499561
2009,225,live,ems,B2,NA,187,rm,31.74,,0.02518569
2009,335,live,ems,B2,NA,187,rm,31.77,,0.025233323
2009,120,live,ems,B2,NA,189,cherry,36.2,,0.032761
2009,152,live,ems,B2,NA,189,cherry,36.23,,0.032815323
2009,225,live,ems,B2,NA,189,cherry,36.23,,0.032815323
2009,335,live,ems,B2,NA,189,cherry,36.25,,0.032851563
2009,120,live,ems,B2,NA,192,bb,13.34,,0.00444889
2009,152,live,ems,B2,NA,192,bb,12.55,,0.003937563
2009,225,live,ems,B2,NA,192,bb,13.48,,0.00454276
2009,335,live,ems,B2,NA,192,bb,13.51,,0.004563003
2009,120,live,ems,B2,NA,193,yb,17.44,,0.00760384
2009,152,live,ems,B2,NA,193,yb,17.52,,0.00767376
2009,225,live,ems,B2,NA,193,yb,17.75,,0.007876563
2009,335,live,ems,B2,NA,193,yb,17.83,,0.007947723
2009,120,live,ems,B2,NA,194,rm,22.97,,0.013190523
2009,152,live,ems,B2,NA,194,rm,23.05,,0.013282563
2009,225,live,ems,B2,NA,194,rm,23.18,,0.01343281
2009,335,live,ems,B2,NA,194,rm,23.3,,0.01357225
2009,120,live,ems,B3,NA,201,ro,38.88,,0.03779136
2009,152,live,ems,B3,NA,201,ro,39.07,,0.038161623
2009,225,live,ems,B3,NA,201,ro,39.42,,0.03884841
2009,335,live,ems,B3,NA,201,ro,39.51,,0.039026003
2009,120,live,ems,B3,NA,202,ro,21.85,,0.011935563
2009,152,live,ems,B3,NA,202,ro,21.86,,0.01194649
2009,225,live,ems,B3,NA,202,ro,21.89,,0.011979303
2009,335,live,ems,B3,NA,202,ro,21.91,,0.012001203
2009,120,live,ems,B3,NA,203,ash,15.92,,0.00633616
2009,152,live,ems,B3,NA,203,ash,15.95,,0.006360063
2009,225,live,ems,B3,NA,203,ash,15.99,,0.006392003
2009,335,live,ems,B3,NA,203,ash,16,,0.0064
2009,120,live,ems,B3,NA,204,rm,27.93,,0.019502123
2009,152,live,ems,B3,NA,204,rm,27.93,,0.019502123
2009,225,live,ems,B3,NA,204,rm,27.93,,0.019502123
2009,335,live,ems,B3,NA,204,rm,27.93,,0.019502123
2009,120,live,ems,B3,NA,208,rm,19.9,,0.00990025
2009,152,live,ems,B3,NA,208,rm,19.91,,0.009910203
2009,225,live,ems,B3,NA,208,rm,19.93,,0.009930123
2009,335,live,ems,B3,NA,208,rm,19.91,,0.009910203
2009,120,live,ems,B3,NA,209,ro,22.92,,0.01313316
2009,152,live,ems,B3,NA,209,ro,23.02,,0.01324801
2009,225,live,ems,B3,NA,209,ro,23.08,,0.01331716
2009,335,live,ems,B3,NA,209,ro,23.13,,0.013374923
2009,120,live,ems,B3,NA,210,ro,34.88,,0.03041536
2009,152,live,ems,B3,NA,210,ro,35.04,,0.03069504
